,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_1_31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_1_31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_2_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_2_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_24,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_24,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_4_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_4_26
,precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad)
file,,,,,,,,,,
inference_42,0.9200000166893004,b,0.8899999856948853,b,0.9300000071525574,b,0.7900000214576721,b,0.9599999785423279,b
inference_43,0.8899999856948853,g,0.9100000262260436,g,0.9800000190734864,g,0.9800000190734864,g,0.6700000166893005,g
inference_44,0.6499999761581421,g,0.8600000143051147,g,0.9399999976158142,g,0.9200000166893004,g,0.7900000214576721,g
inference_45,0.959999978542328,g,0.9700000286102296,g,0.9900000095367432,g,0.9900000095367432,g,0.9100000262260437,g
inference_46,0.8700000047683716,g,0.9100000262260436,g,0.8899999856948853,g,0.9100000262260436,g,0.9599999785423279,g
inference_47,0.8799999952316284,g,0.8100000023841858,g,0.75,g,0.7699999809265137,g,0.7300000190734863,g
inference_48,0.9499999880790708,g,0.9800000190734864,g,0.959999978542328,g,0.9499999880790709,g,0.9700000286102295,g
inference_49,0.8100000023841858,g,0.7300000190734863,g,0.8000000119209291,g,0.9100000262260436,g,0.7200000286102295,g
inference_50,0.07000000029802322,b,0.17000000178813934,b,0.119999997317791,b,0.07999999821186066,b,0.20000000298023224,b
inference_51,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g,0.9200000166893005,g
inference_52,0.6399999856948853,g,0.8500000238418579,g,0.8600000143051147,g,0.7799999713897705,g,0.9100000262260437,g
inference_53,0.14000000059604645,b,0.6600000262260437,g,0.03999999910593033,b,0.07999999821186066,b,0.25,b
inference_54,0.7900000214576721,g,0.7599999904632568,b,0.8600000143051147,b,0.8000000119209291,g,0.5799999833106995,b
inference_55,0.959999978542328,g,0.9399999976158142,g,0.9700000286102296,g,0.959999978542328,g,0.7300000190734863,g
inference_56,0.959999978542328,b,0.9100000262260436,g,0.9499999880790708,g,0.9100000262260436,g,0.949999988079071,g
inference_57,0.05000000074505806,b,0.1899999976158142,b,0.12999999523162842,b,0.09000000357627869,b,0.17000000178813934,b
inference_58,0.9399999976158142,g,0.9700000286102296,g,0.959999978542328,g,0.959999978542328,g,0.9399999976158142,g
inference_59,0.5600000023841858,b,0.6700000166893005,g,0.8100000023841858,g,0.7900000214576721,g,0.8600000143051147,g
inference_60,0.9800000190734864,g,0.9800000190734864,g,0.9700000286102296,g,0.9700000286102296,g,0.9399999976158142,g
inference_61,0.8899999856948853,g,0.9499999880790708,g,0.959999978542328,g,0.9499999880790709,g,0.8199999928474426,g
inference_62,0.9900000095367432,g,0.9800000190734864,g,0.9700000286102296,g,0.9800000190734864,g,0.949999988079071,g
inference_63,0.9300000071525574,g,0.959999978542328,g,0.9100000262260436,g,0.9700000286102296,g,0.8799999952316284,g
inference_64,0.959999978542328,g,0.959999978542328,g,0.959999978542328,g,0.959999978542328,g,0.8600000143051147,g
inference_65,0.3400000035762787,b,0.6899999976158142,b,0.4900000095367432,b,0.6100000143051147,g,0.3700000047683716,b
inference_66,0.7599999904632568,g,0.9399999976158142,g,0.8600000143051147,g,0.8600000143051147,g,0.6700000166893005,g
inference_67,0.8500000238418579,g,0.7400000095367432,g,0.6499999761581421,g,0.8299999833106995,b,0.8100000023841858,b
inference_68,0.9800000190734864,g,0.9700000286102296,g,0.9700000286102296,g,0.959999978542328,g,0.8999999761581421,g
