,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_14,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_14,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_4,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_4,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_5,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_5,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_6,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_6
,precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad)
file,,,,,,,,,,,,,,,,,,,,,,,,
inference_18,0.860000014305115,g,0.879999995231628,g,0.800000011920929,g,0.569999992847443,g,0.730000019073486,g,0.100000001490116,g,0.370000004768372,g,0.180000007152557,g,0.9200000166893,g,0.75,g,0.899999976158142,g,0.730000019073486,g
inference_19,0.340000003576279,g,0.490000009536743,g,0.479999989271164,g,0.439999997615814,g,0.159999996423721,g,0.560000002384186,g,0.660000026226044,g,0.430000007152557,g,0.75,g,0.610000014305115,g,0.860000014305115,b,0.660000026226044,g
inference_20,1,g,0.980000019073486,g,0.980000019073486,g,0.97000002861023,g,0.980000019073486,g,0.990000009536743,g,0.990000009536743,g,0.709999978542328,b,0.980000019073486,g,0.97000002861023,g,0.899999976158142,g,0.97000002861023,g
inference_21,0.990000009536743,g,0.97000002861023,g,0.910000026226044,g,0.990000009536743,g,0.990000009536743,g,1,g,0.959999978542328,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.980000019073486,g,0.97000002861023,g
inference_22,1,g,0.930000007152557,g,0.930000007152557,g,0.980000019073486,g,0.980000019073486,g,0.97000002861023,g,0.910000026226044,g,0.930000007152557,g,0.980000019073486,g,0.97000002861023,g,0.810000002384186,g,0.800000011920929,g
inference_23,1,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.959999978542328,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.980000019073486,g,0.990000009536743,g
inference_24,0.839999973773956,g,0.680000007152557,g,0.740000009536743,g,0.839999973773956,g,0.9200000166893,g,0.490000009536743,g,0.449999988079071,g,0.910000026226044,g,0.879999995231628,g,0.800000011920929,g,0.72000002861023,g,0.509999990463257,g
inference_25,0.97000002861023,g,0.930000007152557,g,0.680000007152557,g,0.75,g,0.819999992847443,g,0.790000021457672,g,0.540000021457672,g,0.740000009536743,g,0.790000021457672,g,0.899999976158142,g,0.629999995231628,g,0.449999988079071,g
inference_26,0.980000019073486,g,0.939999997615814,g,0.980000019073486,g,0.629999995231628,g,0.949999988079071,g,0.810000002384186,g,0.319999992847443,g,0.959999978542328,g,0.9200000166893,g,0.980000019073486,g,0.959999978542328,g,0.9200000166893,g
inference_27,0.990000009536743,g,0.990000009536743,g,0.97000002861023,g,0.97000002861023,g,0.959999978542328,g,0.889999985694885,g,0.959999978542328,g,0.9200000166893,g,0.889999985694885,g,0.9200000166893,g,0.649999976158142,g,0.899999976158142,g
